血糖,22
属于,195
什么,735
科,9
糖尿病,11
专科,2
现在,72
刚设,1
的,3995
在,582
过去,3
确实,4
属,10
内科,4
中,334
内分泌科,4
大多数,3
医院,2
都,83
特地,1
设,2
目的,4
是,2654
方便,2
就医,2
如,39
没有,33
就,91
到,94
连,2
也,99
打,12
分类,4
方面,7
毫无疑问,2
当然,10
不,87
排除,2
由于,11
并发症,1
而,53
需要,18
外科,1
治疗,2
情况,18
糖尿病足,1
等等,1
实际上,2
应当,1
以,36
2,78
型,4
为主,2
多好,1
发于,1
中老年人,1
因此,20
有,291
尚且,1
设置,22
老年病,1
科来,1
朱允文,14
父亲,15
建文帝,1
叫,253
朱元璋,3
皇,5
长孙,1
他,105
就是,79
大儿子,1
那个,86
短命,1
太子,4
朱标,4
14,9
岁,24
时,52
e,156
患有,2
重病,2
身上,7
有个,22
大,70
肉瘤,2
苦不堪言,2
尽心,1
伺候,1
日夜,1
守,1
身边,2
去世,2
后,74
将,65
三个,3
年幼,1
弟弟,2
接到,1
一起,22
对,73
他们,11
饮食起居,1
照顾,2
得,13
十分,3
周到,1
并,36
让,12
觉得,2
孤独,1
保时捷,21
产于,14
哪个,417
国家,237
汽车,5
公司,27
于,94
1930,2
年,437
由,90
费迪南德,2
波尔舍,2
教授,5
创建,18
与,130
德国,10
南部,10
工业,16
重镇,2
斯图加特,3
正式,5
成立,47
当时,33
专门从事,2
豪华,2
跑车,5
生产,15
装配,2
大都,2
靠,16
手工操作,1
来,32
完成,10
整个,3
过程,4
使用,14
一台,2
自动装置,1
历史,43
可追溯,1
至,11
1900,3
第一部,19
为名,1
lohner,1
porsche,1
登场,2
造成,3
轰动,1
答,155
控股,1
有限公司,5
创立,6
1947,2
公司总部,1
原在,1
奥地利,2
吉梦德,1
第一辆,3
即,39
诞生,6
此,4
两年,2
集团,5
总部,28
迁至,1
萨尔斯堡,1
建立,17
了,308
基地,5
我国,153
预计,13
2003,14
年初,12
建成,17
磁悬浮列车,14
哪里,73
落户,12
1,117
月,152
日,84
第一列,1
上海,32
试运行,1
最高,34
时速,1
可达,4
400,2
千米,3
以上,11
国际奥委会,37
最初,24
地方,36
巴黎,7
国际奥林匹克委员会,3
internationalolympiccommittee,2
ioc,2
1894,2
6,39
23,2
共有,7
49,1
个,93
体育,12
组织,5
和,359
12,24
79,1
名,30
代表,13
参加,32
举行,40
大会,3
加,1
设在,5
瑞士,14
洛桑,2
简称,27
相当,2
一段时间,1
内,18
顾拜旦,1
住所,1
注册,14
支付宝,11
必须,14
用到,9
证件号码,17
吗,32
只,13
帐号,2
不用,2
填写,1
直接,3
邮箱,3
验证,1
激活,1
就行了,1
但是,20
你,147
用,42
时候,10
支付,1
或是,2
开店,1
填,1
身份证号,3
确定,5
名字,92
要,35
匹配,1
账号,1
电话号码,2
或,31
然后,9
他会,1
发短信,1
该,28
所,58
绑定,1
确认,1
淘宝,2
买家,5
身份证,5
手机,40
即可,1
才,28
开花,19
不长,6
叶长,6
叶,10
花,28
曼珠,1
沙华,1
又名,9
彼岸花,2
Lycorisradiata,1
多年生,1
草本植物,1
地下,5
球形,1
鳞茎,1
外,5
包,2
暗褐色,2
膜质,1
鳞,1
被,78
带状,1
较窄,2
色,6
深绿,1
自,8
基部,3
抽生,1
发,2
秋初,1
落,3
夏末,1
花期,4
夏末秋,1
初,4
约,16
从,34
7,29
木棉花,1
先,2
后长,1
它,56
像,16
开,30
不见,3
准备,1
过,28
开始,25
长叶,1
前期,1
整棵树,1
特别,15
漂亮,4
两个,28
男人,9
坐在,9
石头,10
上,310
成语,68
一石二鸟,2
仙剑,22
奇侠传,21
唐珏,16
小宝,21
扮演者,73
真,18
名叫,41
真名,1
彭于,8
晏,6
台湾人,1
还,27
曾,13
合作,4
胡歌,3
李逍遥,1
唐钰,3
出,31
生于,16
台湾,44
金马奖,1
最佳,4
新,28
演员,17
一,57
里面,17
唐玉,2
选,1
我,128
吧,27
出自,16
少年,23
杨家将,1
胡歌演,11
杨六郎,1
晏演,2
杨七郎,1
中有,3
电视剧,40
中国台湾,3
男演员,3
tsn,8
机场,17
TSN,2
三,16
字码,1
天津,7
滨海,5
国际,34
免,1
15,20
公斤,3
以下,4
行李,2
可以,80
托运,1
超过,7
56,2
公分,3
x,14
36,1
大小,3
飞机,24
允许,3
带,7
一件,2
北京,49
首都国际机场,1
pek,1
bjs,1
南苑,1
nay,1
上海浦东国际机场,1
pvg,1
虹桥,1
sha,1
重庆,3
重庆江北国际机场,1
ckg,1
万州,1
五桥,1
wxn,1
地理位置,3
位于,114
中国,228
英文,17
全称,13
Tianjin,1
Binhai,1
International,2
IATA,1
三字,1
代码,2
ICAO,1
四字,1
ZBTJ,1
爱到,1
哪,186
网位,1
您,15
提供,13
航班时刻,1
查询,3
包括,9
自白书,6
谁,493
写,37
陈然,2
任,17
脚下,1
响,1
着,30
沉重,1
铁镣,1
把,23
皮鞭,1
举得,1
高高,1
自白,1
哪怕,1
胸口,1
血,1
刺刀,1
人,161
不能,6
低下,1
高贵,3
头,5
只有,22
怕死鬼,1
乞求,1
自由,8
白公馆,1
烈士,1
蓝天,2
顶,2
峰,2
新浪,2
博客,2
诸葛亮,12
挥泪,11
斩马谡,11
为,212
一事,11
是因为,9
失街亭,1
泰迪长,7
几个,40
定型,8
您好,5
狗狗,4
通常,36
七八个,1
左右,7
体型,1
稳定,2
八个,2
泰迪,1
小时候,9
去,23
宠物店,1
修次,1
胎毛,1
之后,10
长,6
出来,15
毛,2
会,20
好,28
一般,39
买,6
海藻,1
粉,1
给,15
吃,17
或者,5
每天,2
喂个,1
蛋黄,2
美毛,1
蛋白,2
不要,3
喂,1
不好,4
消化,1
塔,12
教,10
标志,26
建筑,17
佛教,52
圣地,3
标志性,5
菩提,1
主要,41
佛塔,7
饰物,1
佛珠,1
佛像,1
龙珠,7
日本,15
DRAGON,1
BALL,1
译名,1
七龙珠,1
著名,85
漫画家,1
鸟山明,1
得意,1
作品,19
vivoy51,8
哪年,8
步步高,4
y51,2
上市,5
时间,52
2015,10
月初,2
vivo,14
11,24
月份,13
了解,5
一下,23
RAM,1
2GBROM,1
16GB,1
wordpress,13
编码,14
那,25
我们,20
能,13
支持,4
中文,18
形式,5
utf,1
8,29
gbk,1
世界,259
最早,37
发行,84
金属,19
邮票,62
匈牙利,13
纪念,14
本国,10
制铝,8
50,7
周年,15
1955,8
25,5
轻金属,2
产业,5
会议,12
召开,5
一种,115
铝箔,8
航空,16
厚,2
0.009,1
毫米,2
纯度,2
达,21
99.5%,1
面值,2
5,24
福林,1
图案,10
飞越,1
制,3
铝厂,1
其实,2
这,65
已经,15
范畴,1
工艺品,1
收藏,2
价值,6
不高,1
二十五,6
掠过,5
冶金,6
工业区,5
这是,9
分为,14
有齿,1
版,7
无齿,2
为了,15
其,50
邮政,66
一套,2
该种,1
分有,1
齿,1
版本,5
两种,4
南通,8
省,96
江苏,5
江苏省,4
喔,2
嘻嘻,1
望,6
采纳,18
老舍,30
民族,21
中文名,5
舒庆春,8
别名,9
国籍,6
满族,8
正,6
红旗,2
出生地,7
出生日期,4
1899,6
逝世,3
日期,4
1966,6
职业,5
作家,13
成就,7
发表,1
大量,6
影响,35
后人,8
文学作品,7
代表作品,5
骆驼,8
祥子,8
四世同堂,2
小说家,2
剧作家,5
卒,2
祖籍,4
最,60
常用,2
笔名,1
资料,10
原名,17
人民,29
艺术家,6
蒙面,9
歌王,9
张玮唱,7
吻别,7
一期,7
麦兜,2
猪,3
正在,6
直播,3
苏打,2
绿,8
小,52
情歌,3
现场,5
张玮,2
蝶,2
第一季,3
第六期,2
专辑,34
歌手,37
00,4
01,5
山楂树,12
之恋,12
女主角,30
剧中,5
静秋,3
本名,4
周,18
冬雨,5
河北,6
石家庄,4
十二,3
高三,1
学生,6
1992,3
谋女郎,2
河北省,18
石家庄市,8
目前,15
2010,3
中高二,1
3,64
主修,1
舞蹈,4
新生代,1
电影演员,1
现就读,1
北京电影学院,2
表演系,2
2011,12
级,15
本科班,1
成为,20
新一代,1
张艺谋,2
导演,10
电影,33
出演,7
一举成名,1
凭借,3
该片,1
获,1
第十四届,1
华表奖,1
新人,1
女演员,4
奖,1
介绍,11
新片,1
罗马,30
斗兽场,9
古罗马,9
文明,26
象征,24
现代,34
兽场,1
说,83
乃至,2
意大利,16
Italy,1
意大利共和国,1
一个,147
欧洲,36
南欧,1
亚平宁半岛,1
及,21
地中海,6
岛屿,18
西西里岛,1
萨丁岛,1
组成,7
国土面积,1
301333,1
平方公里,19
人口,27
6002,1
万,7
北方,7
阿尔卑斯山,1
地区,38
法国,27
以及,10
斯洛文,1
家乐福,11
超市,6
具体,3
如下,2
1959,1
卖场,1
业态,1
首创者,1
第一,13
零售商,1
第二,3
国际化,1
零售,2
连锁,1
现,5
拥有,8
000,1
多家,1
营运,2
单位,3
业务范围,1
遍及,1
Carrefour,2
法语,1
意思,10
十字路口,2
因为,25
1963,2
起,6
第一家,1
某地,1
旁,3
该店,1
亦,4
全球,10
面积,43
最小,1
分店,1
不是,59
应,7
外商独资,1
500,1
强,1
排名,3
22,5
乌鲁木齐,8
省份,12
省级,5
行政区,4
新疆维吾尔自治区,4
全名,11
乌鲁木齐市,1
新疆,3
首府,3
北京市,6
Beijing,1
京,1
中华人民共和国,3
首都,68
直辖市,5
中心,38
城市,67
超大,1
全国,18
政治,26
文化,29
国际交往,1
科技,4
创新,1
中国共产党中央委员会,1
中华人民共和国中央人民政府,1
全国人民代表大会,10
办公,1
所在地,1
维吾儿,1
自治区,3
苏州高新区,9
区,63
苏州,7
沧浪区,1
平江区,1
金阊区,1
虎丘区,2
吴中区,1
相城区,1
热心,3
网友,10
高新技术,1
开发区,1
本来,2
管辖,4
文山,9
云南省,4
文山壮族苗族自治州,1
东南部,4
东邻,23
广西,3
百色地区,1
西连,1
红河州,1
北接,2
曲靖,1
麻栗坡,1
马关,1
富宁,1
县,15
越南,7
河江省,1
接壤,7
楚图南,2
其他,15
不知,1
还有,14
红人,1
1994,6
云南,3
曾任,1
暨南大学,1
云南大学,1
法学院,1
历任,2
北京师大,1
西南,5
文教,1
委员会,2
主任,2
对外,1
协会会长,1
民盟中央,1
代主席,1
等,55
职,1
花草,14
草兰,15
山兰,15
朵朵,15
香,17
